RESTAURANT;DIRECCION;NOMBRE_PLATO;DESCRIPCION_PLATO
Sonder Meat....;Avenida Jose Alcalde Delano 10425, Lo Barnechea, Chile;Sonder Partner!;2 hamburguesas sonder classic (mayo, lechuga, tomate, cebolla pepinillos, carne 120 gr, queso, kétchup, mostaza), 1 papas familiares, 2 bebidas.
Freedom Protein;Av. Padre Hurtado Nte 2016, Vitacura, Chile;Helado I-Scream Cheesecake Frambuesa;Helado i-scream de cheesecake frambuesa, 490 ml.
Sushi Kitai;Av. Lo Barnechea 1281, Local 4 y 5.;Café;Café
Trujillo Chicken;El Gabino 13492, Lo Barnechea, Chile;Agua Mineral con Gas 600ml;Agua vital.
Café Mokka;Av. La Dehesa # 1445, Local 1076, Lo Barnechea;Jugo Vitamina Naranja;Jugo vitamina naranja.
El Montañes;Avenida El Rodeo 13096, Lo Barnechea;Tiramisú;Base de galletas de champagne, exquisita crema de leche, todo bañado con cobertura de chocolate
Dulce Luna;Av. La Dehesa 1445, Espacio 1650, Lo Barnechea;Jugo Mix Del Norte;Jugo de mango, piña y naranja
Havanna;(OJO: RETIRO EN BARRA CHALACA)Av. La Dehesa 1445, Lo Barnechea, Región Metropolitana, Chile, Local 1106opolitana, Chile;Huevo de Pascua 165g;Huevo de chocolate con leche, relleno con almendras y avellanas bañadas en chocolate.
La Fresca;Av. La Dehesa 2121, Lo Barnechea, Chile;Torta Trozo Mil Hoja Manjar;Trozo individual de torta mil hoja manjar, receta antigua de la nonna.
Take a Wok;(OJO:  RETIRO EN BARRA CHALACA)La Dehesa 1445, local 1106;Agua Evian Sin Gas 330 Cc;Agua
Sabor y Aroma;Av. Raúl Labbé 12559, Lo Barnechea, Región Metropolitana;Inca Kola Original 500 ml;Bebida
Mamma Mia;(OJO: ENTRADA POR EASY Y RETIRO EN BARRA CHALACA)Avenida La Dehesa 1445, Lo Barnechea, Región Metropolitana, Chile, local 1106;Agua Evian Sin Gas 330 Cc;Agua
Tanaka;El Rodeo 13032, Lo Barnechea, Región Metropolitana;Coca-Cola Sin Azúcar 350 ml;Bebida
El Toldo Azul;Tabancura 1530, Vitacura;Brownie Nueces;A nuestro clásico brownie hecho con chocolate 71% cacao le agregamos nueces.
Yogurtlife;Avenida La Dehesa 1445, Lo Barnechea, Chile;Yogurt Helado X 3 Vasos 20 Onz;Pack 3 vasos de onzas, cada vaso seleccionable hasta de 2 sabores. ¡pídela ya!.
Domani Pizzeria & Bar;Cerro el Plomo 5630, Local 201, Edificio Las Artes, Las Condes;Peroni Sin Alcohol 330 cc;330 Cc.
Bravissimo;Antonio de Pastrana 2529, Vitacura, Chile;Menta Chips;Cremoso helado de menta con exquisito chocolate granizado. una mezcla perfecta de sabores. cont.neto: 350gr (500 ml aprox)
Mattre Pizza;lastra 13860, lo barnechea;Palitos Veganos;Palitos horneados cubiertos con salsa especial, acompañados con salsa pomodoro fresca de la casa.
El Tequeñon Lo Barnechea;EL GABINO 13706 LOCAL 2 LO BARNECHEA;Coca-Cola Sin Azúcar 1.5 L;Bebida
Juicy Lucy;Av. La Dehesa 1445, Lo Barnechea, Región Metropolitana;Smash Burger Cheese;Hamburguesa angus 150 grs, y queso cheddar laminado en pan smash con sésamo negro.
Tiger Wok;Partenón 1727, V;Cubierto Biodegradable;Bambu o biodegradable
TOMMY MARKET;Av. Jose Alcalde Delano 11366, Lo Barnechea, Región Metropolitana, Chile;Heineken Cero 330 ml;Cerveza
Pizzeria Esfuerzo;Lo Barnechea 503, Lo Barnechea, Región Metropolitana, Chile;Kombo Selektor Familiar;2 pizzas familiares (con 3 ingredientes a elección excluyendo camarones y lomo saltado) + palitos de ajo con salsa de ajo o pesto.
Agostina Pizza;Avenida La Dehesa 1844, Lo Barnechea, Chile;Fanta Sin Azúcar 1.5 L;Bebida
Burattino - los Trapenses;Avenida Camino Los Trapenses 3200, Lo Barnechea, Región Metropolitana, Chile;Calzone Nutella;Calzone nutella
Tortel Pizzas Food;Avenida Camino Los Trapenses 3200, Lo Barnechea, Chile;Pizza con Salame;Pizza mediana a base de salsa de tomate, queso muzzarella, salame, pimentón y orégano.
Talking Tacos;Av. las Condes 14845, Lo Barnechea, Chile;Sprite Zero 350 ml;Bebida
Pollo Al Coñac;Lo Barnechea 700, Lo Barnechea, Chile;Caldo de Pollo al Coñac 1 L;Caldo de pollo al coñac de 1 L.
Holy Chicken;Avenida Jose Alcalde Delano 10497, Lo Barnechea, Chile;Pepsi Light 1.5 l;Bebida
Puerto Trapenses;Avenida José Alcalde Délano 10497, Lo Barnechea, Chile;Filete de Vacuno a Lo Pobre;Filete de vacuno con cebolla caramelizada, huevo frito, papas fritas.
Fork;Carlos Silva Vildósola 9073, La Reina;Jugo Naranja Maracuyá Bless, 300 Ml;Jugo prensado de maracuyá, naranja, piña y manzana. mezcla tropical y cítrica. comparte lo bueno y lo malo, siempre hay tiempo para los de siempre.
Pronto Copec;Avenida Apoquindo 4775, Las Condes, Chile;Pan De Molde Blanco Ideal 580 G;Pan de molde blanco ideal 580 g
Dominó;Av. Apoquindo 4400 Santiago Las Condes Región Metropolitana Chile Escuela Militar;Fanta;Fanta
La Punta;Av. Manquehue Nte. 1910, Vitacura, Región Metropolitana;Sopa de Zapallo Individual;Sopa suave, cremosa, sabrosa, aromática. mezcla dos tipos de zapallos amarillos, licores, especias, sofrito y un delicado caldo de ave.
McDonald's;príncipe de Gales 7252, la reina;Latte;Café de grano con leche
Tavelli;Príncipe de Gales 6543, La Reina, Región Metropolitana;Sprite Zero 350 ml;Bebida
Subway;Av. Cristóbal Colón 6560, local 3, Las Condes, Chile;Papas Fritas Corte Americano;Papas fritas
Délice;Avenida tobalaba 5151 local 106 ñuñoa;Cheesecake Manjar;Cheesecake Manjar
Juan Maestro;Av Apoquindo 3038 Local 2;Bebida De 1,5 Litros;Bebida de 1,5 litros
Dunkin';AV.FRANCISCO BILBAO 8750 L.2048, LAS CONDES;Café en Grano Molido Dark Roast;Café Dunkin' molido dark roast, 454 gramos.
Happy Days Waffles & Coffee;Dublé Almeyda 3575 Ñuñoa Región Metropolitana;2 Waffles Fiesta en Tu Boca;2 Waffles bañadoz en chocolate, cubierto de maní, manjar y colores.
Quererte Cafetería;Av. Cristóbal Colón 6560, Las Condes, Región Metropolitana;Pizza Peperoni;Salsa de tomate + queso mozzarella + pepperoni
Starbucks;Av. Francisco Bilbao 8750 Las Condes Región Metropolitana Chile;Antojo Vegano;Barrita con mantequilla de maní, avena sin gluten, quinoa pop, panela y 55% cacao
McDonald's Postre;Príncipe de Gales 7252, La Reina, Chile;Agua Mineral;Agua mineral sin gas de 600 ml.
El Taller;Av. Ossa 2280 La Reina Región Metropolitana Chile;Conos Artesanales;Conos dulces para acompañar tus helados con tamaño a elección
Happy Milkshake;Dublé Almeyda 3575, Ñuñoa, Región Metropolitana, Chile;Benedictino Con Gas 500 ml;Agua
Pollo Stop Asaduría;Carlos Silva Vildosola 9073, La Reina (Strip Center Las Brujas);Bebida En Lata;Bebida en lata
Little Caesars Pizza;MANQUEHUE SUR 1241;Red Bull Sugarfree;Red bull sugarfree
Melt Pizzas;Carlos Ossandon 1188 La Reina Santiago;Dipbox 12 Cups Honey Mustard;Pack de 12 cups de honey mustard.
Fajita Express;Carlos Silva Vildosola 9073, La Reina (Strip Center Las Brujas, local Pollo Stop);Dulce De Frambuesa Cremeria;Dulce de frambuesa cremeria
Oh My Pizza;polcura 2289, peñalolen;Coca-Cola Sin Azúcar 1.5 l;Bebida
Sushi Ryge;Carlos XII 124, Las Condes;Cuk Chocolate Blanco Maracuya Sin Azúcar;Cuk 140 gramos chocolate blanco maracuya sin azucar
La Fuente Reina;Echeñique 8540, La Reina;Hamburguesa Queso;Hamburguesa queso
Dony Doner;Avenida Presidente Kennedy 5413, Las condes;Salsa Aceituna;Salsa aceituna
Pedro Juan & Diego;Carlos Silva Vildosola 9073, La Reina, Santiago.;Box 2 Pa 2 Burguer;4 Hamburguesas tamaño normal + bebida 1.5 l
Panzón Bustamante;Av. Ossa 702 Ñuñoa Región Metropolitana;Hot Dog Vienesa Alemán;Tomate, Chucrut y mayonesa, tamaño a elección (11 o 25 cm)
Chicken Factory;Carlos Ossandon 1188 Santiago, La ReinaRegión Metropolitana;Salsas.;Elige tu salsa favorita
Bendita Sopaipilla;Alonso de Córdova 5320, Local 10, Las Condes;Brownie Nuez;Un delicioso brownie relleno con auténticos chips de chocolate + topping de nuez.
Thai Time;Mariano Sánchez Fontecilla 11688, Penalolen, Peñalolén, Región Metropolitana;Vegano Manjar Platano;Helado artesanal con base vegana, plátano y manjar.
Pizza Hut;Av. Alcalde Fernando Castillo Velasco 8751, La Reina;La Cremeria Sahne Nuss;La cremeria sahne nuss
