RESTAURANT;DIRECCION;TELEFONO
Fukai;Diecinueve de Abril 3561 Ñuñoa Región Metropolitana, local 115 y 117 b;Telefono no encontrado
Ukiyo Sushi;Eyzaguirre 1180;(2) 3248 0134
Delivery Gourmet;Partenón 1727, Vitacura, Región Metropolitana, Chile;(2) 2608 2738
Sayonara Urmeneta;Urmeneta 816 Recoleta;9 6471 9203
Aomori Nikkei & Sushi;Toesca 1920, Santiago;(2) 2671 8652
I-Mu Sushi & Bar;Juan Enrique Concha 41 Ñuñoa, Región Metropolitana;Telefono no encontrado
Café Mokka;Av. La Dehesa # 1445, Local 1076, Lo Barnechea;9 9276 7919
Maskepan;Manuel Mont 398, providencia;9 7898 9853
Barrio Chicken;Diego de Velásquez 2051, Providencia, Región Metropolitana, Chile;Telefono no encontrado
Tarragona;Avda. Independencia 585 Local FC02, Independencia;Telefono no encontrado
LuYin Comida China;Dr Luis Middleton 1666Providencia, Región Metropolitana;(2) 3283 6670
Giro Sushi;Av. Carrascal 3830;Telefono no encontrado
Trilogia Gourmet;Av. lo Barnechea 1672, Santiago, Lo Barnechea, Región Metropolitana, Chile;9 8835 5807
Trattoria Rita;Av Presidente Kennedy 5413, Las Condes, Vitacura, Región Metropolitana, Chile, Boulevard Parque Arauco, Local 369,;Telefono no encontrado
Lai Thai;Franklin 602, Santiago, Región Metropolitana;9 8775 3524
Starbucks;Av. las Condes 12340, Lo Barnechea, Región Metropolitana, lcoal 3;Telefono no encontrado
Del Valle Gourmet Comida Venezolana;amunategui 75 local 02 santiago region metropolitana chile;9 6433 4990
Paradiso;Av. Apoquindo 4526, Las Condes, Región Metropolitana( por la salida de la estacion de militares);Telefono no encontrado
Shun Yi;Av. Las Torres 4965, Penalolen, Peñalolén, Región Metropolitana;(2) 3264 3936
Mi Ensalada;paseo orrego luco 42 providencia xmetropolitana de santiago chile;Telefono no encontrado
Café Mokka;Av. Manquehue Sur # 31, Local 1, Las Condes;9 5812 2819
Mi Gohan;Paseo Orrego Luco 42, Providencia, Región Metropolitana, Chile;Telefono no encontrado
Berlin Döner Kebab;Irarrázaval 1520, Ñuñoa, Región Metropolitana, Chile;9 3591 4451
ACEVICHADO SUSHI;Av. Providencia 1549, Providencia, Región Metropolitana, Chile;Telefono no encontrado
Uncle Fletch;El Rodeo 12850, Lo Barnechea, Región Metropolitana;9 6609 0222
Peru Clasico Santiago Centro;Copiapó 508, Santiago, Región Metropolitana, Chile;Telefono no encontrado
Mister Fish;General flores 39;(2) 2825 7852
Dominó;Av. Libertador Bernardo O'Higgins #676, esquina Santa Rosa, Santiago;9 9129 9352
