;Nombre Restaurant;URL RESTAURANT
270;Affogato Heladería y Café;https://www.rappi.cl/restaurantes/900023732-affogato-heladeria-y-cafe
271;Oh My Pizza;https://www.rappi.cl/restaurantes/900023998-oh-my-pizza
272;Fajita Express;https://www.rappi.cl/restaurantes/900024463-fajita-express
273;Trattoria Da Noi;https://www.rappi.cl/restaurantes/900024504-trattoria-da-noi
274;Misoya;https://www.rappi.cl/restaurantes/900026250-misoya
275;Lunch and Dinner;https://www.rappi.cl/restaurantes/900029076-lunch-and-dinner
276;Brussels Heart Of Chocolate;https://www.rappi.cl/restaurantes/900030759-brussels-heart-of-chocolate
277;Heladería Italia 1609 café & crêpe;https://www.rappi.cl/restaurantes/900030938-heladeria-italia-1609-cafe-y-crepe
278;Mote Con Huesillo;https://www.rappi.cl/restaurantes/900032676-mote-con-huesillo
279;Peruvian Nikkei;https://www.rappi.cl/restaurantes/900032826-peruvian-nikkei
280;Seven Pizza;https://www.rappi.cl/restaurantes/900037899-seven-pizza
281;Oh My Gohan!;https://www.rappi.cl/restaurantes/900040749-oh-my-gohan
282;Sushi Rolls Liam;https://www.rappi.cl/restaurantes/900048528-sushi-rolls-liam
283;Q RIKO FOOD LOS ESPECIALISTA EN CACHAPA;https://www.rappi.cl/restaurantes/900057492-q-riko-food-los-especialista-en-cac
284;La Ciabatta;https://www.rappi.cl/restaurantes/900065152-la-ciabatta
285;Under Pizza;https://www.rappi.cl/restaurantes/900068216-under-pizza
286;Kami Sushi;https://www.rappi.cl/restaurantes/900072946-kami-sushi
287;Dumpling Factory & CO;https://www.rappi.cl/restaurantes/900073374-dumpling-factory-y-co
288;Spicy Vegan;https://www.rappi.cl/restaurantes/900074954-spicy-vegan
289;Okinawa Comida Rapida;https://www.rappi.cl/restaurantes/900078510-okinawa-comida-rapida
290;Meat And Grill;https://www.rappi.cl/restaurantes/900078643-meat-and-grill
291;Romaria Pizzería;https://www.rappi.cl/restaurantes/492-romaria-pizzeria
292;Arepas Food & Shop;https://www.rappi.cl/restaurantes/900015178-arepas-food-y-shop
293;Lulupok;https://www.rappi.cl/restaurantes/900016461-lulupok
294;Maskepan;https://www.rappi.cl/restaurantes/900017323-maskepan
295;Yin Hua;https://www.rappi.cl/restaurantes/900017392-yin-hua
296;Helados Mó;https://www.rappi.cl/restaurantes/900017541-helados-mo
297;Sushi Centro;https://www.rappi.cl/restaurantes/900018060-sushi-centro
298;Chato's;https://www.rappi.cl/restaurantes/900021240-chatos
299;Chicken International;https://www.rappi.cl/restaurantes/900021363-chicken-international
300;Indian Box - Veggie;https://www.rappi.cl/restaurantes/900021451-indian-box-veggie
301;Masala;https://www.rappi.cl/restaurantes/900021498-masala
302;La Casa Vieja;https://www.rappi.cl/restaurantes/900023707-la-casa-vieja
303;Tommy Beans;https://www.rappi.cl/restaurantes/900023723-tommy-beans
304;La Provincia Restaurant;https://www.rappi.cl/restaurantes/900024847-la-provincia-restaurant
305;Mandala Mía Súper Alimentos;https://www.rappi.cl/restaurantes/900025096-mandala-mia-super-alimentos
306;DoHa DoHa - Shawarma's House;https://www.rappi.cl/restaurantes/900025097-doha-doha-shawarmas-house
307;Dulcería Frutillar;https://www.rappi.cl/restaurantes/900025714-dulceria-frutillar
308;La Focaccia;https://www.rappi.cl/restaurantes/900028494-la-focaccia
309;gohan y Cia.;https://www.rappi.cl/restaurantes/900029614-gohan-y-cia
310;Agostina Pizza;https://www.rappi.cl/restaurantes/900030990-agostina-pizza
311;Fresh Salads Vitacura;https://www.rappi.cl/restaurantes/900031876-fresh-salads-vitacura
312;Mr. Keto;https://www.rappi.cl/restaurantes/900032045-mr-keto
313;Waffles World;https://www.rappi.cl/restaurantes/900035518-waffles-world
314;Crepes & Waffles;https://www.rappi.cl/restaurantes/900038128-crepes-y-waffles
315;Restaurant Salon Asia;https://www.rappi.cl/restaurantes/900039450-restaurant-salon-asia
316;El Taller;https://www.rappi.cl/restaurantes/900039912-el-taller
317;EL MUNDO DE LA EMPANADA;https://www.rappi.cl/restaurantes/900040852-el-mundo-de-la-empanada
318;Torta Caluga;https://www.rappi.cl/restaurantes/900066466-torta-caluga
319;Deseable® Sushi;https://www.rappi.cl/restaurantes/900066852-deseabler-sushi
320;La Areperia Chile;https://www.rappi.cl/restaurantes/900075711-la-areperia-chile
321;Comida Casera My Toli;https://www.rappi.cl/restaurantes/900079168-comida-casera-my-toli
322;El Brasero;https://www.rappi.cl/restaurantes/508-el-brasero
323;Pastas Nenetta;https://www.rappi.cl/restaurantes/900015042-pastas-nenetta
324;Irreverente;https://www.rappi.cl/restaurantes/900016350-irreverente
325;Ukiyo Sushi;https://www.rappi.cl/restaurantes/900016952-ukiyo-sushi
326;Gino´s Pizza;https://www.rappi.cl/restaurantes/900017705-ginos-pizza
327;Lomito Alemán Ñuñoa;https://www.rappi.cl/restaurantes/900018420-lomito-aleman-nunoa
328;Dony Doner;https://www.rappi.cl/restaurantes/900018532-dony-doner
329;Telepizza;https://www.rappi.cl/restaurantes/900018909-telepizza
330;Don Papas;https://www.rappi.cl/restaurantes/900020616-don-papas
331;Íjole Taqueria;https://www.rappi.cl/restaurantes/900021406-ijole-taqueria
332;Subway;https://www.rappi.cl/restaurantes/900022591-subway
333;WildRoots Salad Bar& Co;https://www.rappi.cl/restaurantes/900026559-wildroots-salad-bary-co
334;Tomodashi Go;https://www.rappi.cl/restaurantes/900026568-tomodashi-go
335;Tavelli;https://www.rappi.cl/restaurantes/900027345-tavelli
336;Sushi Arashi;https://www.rappi.cl/restaurantes/900028245-sushi-arashi
